證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"2739","寒舍","874000","56702700","64.60","66.10","64.10","64.10","-0.4000","567"
"2748","雲品","210000","14754200","70.50","71.00","69.90","69.90","0.0000","171"
"2753","八方雲集","212000","35051500","166.00","166.00","165.00","165.00","-1.0000","140"
"2762","世界健身-KY","92000","8426500","91.90","91.90","91.20","91.50","-0.4000","77"
"2801","彰銀","10909000","198388500","18.15","18.25","18.15","18.20","0.0500","1947"
"2809","京城銀","5775000","363339000","61.40","63.60","61.20","63.50","2.0000","2378"
"2812","台中銀","2668000","49244300","18.50","18.50","18.40","18.45","0.0000","857"
"2816","旺旺保","288000","9778850","33.60","34.20","33.60","33.85","0.0500","157"
"2820","華票","728000","11259500","15.45","15.50","15.40","15.50","0.1000","247"
"2832","台產","1715000","48788350","28.50","28.60","28.00","28.45","-0.1000","605"
"2834","臺企銀","14284000","246084550","17.20","17.30","17.15","17.25","0.1000","2940"
"2836","高雄銀","1509000","17743300","11.75","11.80","11.75","11.75","0.0000","429"
"2836A","高雄銀甲特","21000","449750","21.40","21.50","21.40","21.50","0.1000","11"
"2838","聯邦銀","1013000","16034200","15.75","15.85","15.75","15.80","0.0500","295"
"2838A","聯邦銀甲特","4000","213500","53.30","53.40","53.30","53.40","0.1000","4"
"2845","遠東銀","2800000","43813100","15.60","15.70","15.60","15.70","0.1500","673"
"2849","安泰銀","36000","511300","14.30","14.35","14.15","14.20","-0.0500","18"
"2850","新產","983000","91342700","92.50","94.00","91.00","94.00","1.4000","664"
"2851","中再保","1640000","42964550","26.25","26.30","26.10","26.10","-0.1000","548"
"2852","第一保","736000","18047550","24.40","24.65","24.35","24.55","0.0500","130"
"2855","統一證","2286000","62715250","27.25","27.60","27.20","27.60","0.3000","1073"
"2867","三商壽","25244000","185555230","7.48","7.48","7.32","7.33","-0.1900","5205"
"2880","華南金","18288000","467724200","25.55","25.65","25.35","25.65","0.1000","4082"
"2881","富邦金","12009000","913495300","77.00","77.00","75.80","76.00","-0.9000","5937"
"2881A","富邦特","69000","4333200","62.80","62.80","62.80","62.80","-0.1000","17"
"2881B","富邦金乙特","2000","119000","59.40","59.60","59.40","59.60","0.0000","2"
"2881C","富邦金丙特","33000","1772900","53.80","53.80","53.70","53.70","-0.1000","18"
"2882","國泰金","19647000","1131979200","58.20","58.20","57.40","57.50","-0.7000","6328"
"2882A","國泰特","36000","2210400","61.40","61.40","61.40","61.40","0.1000","11"
